time/s	Ewe/V	<I>/mA	cycle number	
6.915926462384959E+003	1.9657112E+000	-1.195038101811097E-003	1.000000000000000E+000
6.925925762263869E+003	1.9647480E+000	-1.197178838084507E-003	1.000000000000000E+000
6.935925062142807E+003	1.9637147E+000	-1.199640198891447E-003	1.000000000000000E+000
6.945924262021748E+003	1.9627233E+000	-1.201620524884237E-003	1.000000000000000E+000
6.955923561900679E+003	1.9616894E+000	-1.203512565547016E-003	1.000000000000000E+000
6.965922861779625E+003	1.9607238E+000	-1.204829315272747E-003	1.000000000000000E+000
6.975922161658556E+003	1.9597130E+000	-1.206007663740900E-003	1.000000000000000E+000
6.985921361537490E+003	1.9587096E+000	-1.207331863942934E-003	1.000000000000000E+000
6.995920261416439E+003	1.9577084E+000	-1.208288028947395E-003	1.000000000000000E+000
7.005919161295373E+003	1.9567132E+000	-1.209724674371989E-003	1.000000000000000E+000
7.015918461174319E+003	1.9557184E+000	-1.209578778661079E-003	1.000000000000000E+000
7.025917661053274E+003	1.9547006E+000	-1.210302139120358E-003	1.000000000000000E+000
7.035916960932183E+003	1.9537230E+000	-1.211100700548078E-003	1.000000000000000E+000
7.045916260811122E+003	1.9527130E+000	-1.211442851620715E-003	1.000000000000000E+000
7.055915560690060E+003	1.9516952E+000	-1.211460331925437E-003	1.000000000000000E+000
7.065914760568994E+003	1.9507005E+000	-1.211143321498634E-003	1.000000000000000E+000
7.075914060447940E+003	1.9497404E+000	-1.210773866205089E-003	1.000000000000000E+000
7.085913360326871E+003	1.9487288E+000	-1.210190139142458E-003	1.000000000000000E+000
7.095912660205810E+003	1.9477049E+000	-1.209415740472678E-003	1.000000000000000E+000
7.105911860084772E+003	1.9466947E+000	-1.208130836928799E-003	1.000000000000000E+000
7.115911159963682E+003	1.9457206E+000	-1.207230643811816E-003	1.000000000000000E+000
7.125910459842620E+003	1.9447267E+000	-1.206234559884223E-003	1.000000000000000E+000
7.135909759721559E+003	1.9437068E+000	-1.205381505006164E-003	1.000000000000000E+000
7.145908959600492E+003	1.9427221E+000	-1.203405529953168E-003	1.000000000000000E+000
7.155908259479431E+003	1.9417298E+000	-1.201432766023966E-003	1.000000000000000E+000
7.165907559358369E+003	1.9407145E+000	-1.199502226164738E-003	1.000000000000000E+000
7.175906859237301E+003	1.9397118E+000	-1.197783424881926E-003	1.000000000000000E+000
7.185906059116242E+003	1.9387120E+000	-1.195759122550818E-003	1.000000000000000E+000
7.195904958995205E+003	1.9377223E+000	-1.193311672482827E-003	1.000000000000000E+000
7.205903858874124E+003	1.9367024E+000	-1.191435995754060E-003	1.000000000000000E+000
7.215903158753063E+003	1.9356923E+000	-1.188494017908730E-003	1.000000000000000E+000
7.225902358631996E+003	1.9347001E+000	-1.185551360144380E-003	1.000000000000000E+000
7.235901658510935E+003	1.9337050E+000	-1.182892822432659E-003	1.000000000000000E+000
7.245900958389873E+003	1.9327089E+000	-1.179833237787933E-003	1.000000000000000E+000
7.255900258268812E+003	1.9317166E+000	-1.176542511440367E-003	1.000000000000000E+000
7.265898858147753E+003	1.9306996E+000	-1.173548123461290E-003	1.000000000000000E+000
7.275898158026714E+003	1.9297101E+000	-1.171325841865894E-003	1.000000000000000E+000
7.285897457905623E+003	1.9287361E+000	-1.167871662899934E-003	1.000000000000000E+000
7.295896757784561E+003	1.9277313E+000	-1.164783446402144E-003	1.000000000000000E+000
7.305895957663502E+003	1.9267454E+000	-1.161407114395762E-003	1.000000000000000E+000
7.315895257542463E+003	1.9257368E+000	-1.158115077462333E-003	1.000000000000000E+000
7.325894557421379E+003	1.9247652E+000	-1.154202252731528E-003	1.000000000000000E+000
7.335893857300325E+003	1.9237456E+000	-1.150923871854150E-003	1.000000000000000E+000
7.345893057179244E+003	1.9227352E+000	-1.147796560998778E-003	1.000000000000000E+000
