time/s	Ewe/V	<I>/mA	cycle number	
8.849852138970542E+003	7.9182997E-002	-8.784459854270010E-002	1.000000000000000E+000
8.853185238930164E+003	8.0172129E-002	-8.748555675273151E-002	1.000000000000000E+000
8.856518338889815E+003	8.1195891E-002	-8.713821873694139E-002	1.000000000000000E+000
8.859851438849451E+003	8.2175687E-002	-8.675450629417769E-002	1.000000000000000E+000
8.863184538809095E+003	8.3185174E-002	-8.638408431735245E-002	1.000000000000000E+000
8.866517638768739E+003	8.4176898E-002	-8.601222969861633E-002	1.000000000000000E+000
8.869850738728390E+003	8.5177265E-002	-8.567046141409018E-002	1.000000000000000E+000
8.873183738688036E+003	8.6196102E-002	-8.542048614143893E-002	1.000000000000000E+000
8.876516838647673E+003	8.7177359E-002	-8.506385611023015E-002	1.000000000000000E+000
8.879849938607309E+003	8.8174798E-002	-8.468974758712067E-002	1.000000000000000E+000
8.883183038566960E+003	8.9169212E-002	-8.431843966725161E-002	1.000000000000000E+000
8.886516138526611E+003	9.0174325E-002	-8.393251559732651E-002	1.000000000000000E+000
8.889849238486262E+003	9.1180623E-002	-8.355726524090756E-002	1.000000000000000E+000
8.893182338445913E+003	9.2187591E-002	-8.321404613636485E-002	1.000000000000000E+000
8.896515438405550E+003	9.3171008E-002	-8.285868702382659E-002	1.000000000000000E+000
8.899848538365193E+003	9.4157614E-002	-8.249772928267540E-002	1.000000000000000E+000
8.903181638324837E+003	9.5177293E-002	-8.216575769832324E-002	1.000000000000000E+000
8.906514738284481E+003	9.6186392E-002	-8.185445362084065E-002	1.000000000000000E+000
8.909847838244124E+003	9.7148381E-002	-8.150383247059678E-002	1.000000000000000E+000
8.913180938203761E+003	9.8158091E-002	-8.115328053819693E-002	1.000000000000000E+000
8.916513938163407E+003	9.9183522E-002	-8.079413288224074E-002	1.000000000000000E+000
8.919847038123058E+003	1.0018622E-001	-8.049535606905911E-002	1.000000000000000E+000
8.923180138082767E+003	1.0120934E-001	-8.025758899042790E-002	1.000000000000000E+000
8.926513238042360E+003	1.0218807E-001	-7.991028547786291E-002	1.000000000000000E+000
8.929846338002011E+003	1.0318783E-001	-7.956618315486552E-002	1.000000000000000E+000
8.933179437961662E+003	1.0419118E-001	-7.922943654858283E-002	1.000000000000000E+000
8.936512537921313E+003	1.0519114E-001	-7.891278951229719E-002	1.000000000000000E+000
8.939845637880950E+003	1.0618624E-001	-7.856802028376397E-002	1.000000000000000E+000
8.943178737840593E+003	1.0717513E-001	-7.825561700885308E-002	1.000000000000000E+000
8.946511837800237E+003	1.0819209E-001	-7.791865511656537E-002	1.000000000000000E+000
8.949844937759888E+003	1.0918249E-001	-7.757320207455048E-002	1.000000000000000E+000
8.953178037719539E+003	1.1019482E-001	-7.722984862179416E-002	1.000000000000000E+000
8.956511037679185E+003	1.1117071E-001	-7.690121777371273E-002	1.000000000000000E+000
8.959844137638836E+003	1.1216221E-001	-7.658350326888252E-002	1.000000000000000E+000
8.963177237598487E+003	1.1318190E-001	-7.625530637571058E-002	1.000000000000000E+000
8.966510337558138E+003	1.1416342E-001	-7.594481699544553E-002	1.000000000000000E+000
8.969843437517760E+003	1.1516019E-001	-7.562423430788162E-002	1.000000000000000E+000
8.973176537477411E+003	1.1617205E-001	-7.538112447199796E-002	1.000000000000000E+000
8.976509637437048E+003	1.1717074E-001	-7.509730786425214E-002	1.000000000000000E+000
8.979842737396692E+003	1.1814244E-001	-7.477502624757526E-002	1.000000000000000E+000
8.983175837356335E+003	1.1916325E-001	-7.444669834910567E-002	1.000000000000000E+000
8.986508937315986E+003	1.2017762E-001	-7.412771046075689E-002	1.000000000000000E+000
8.989842037275623E+003	1.2115764E-001	-7.384818117733977E-002	1.000000000000000E+000
8.993175137235259E+003	1.2216480E-001	-7.352913068295319E-002	1.000000000000000E+000
8.996508137194905E+003	1.2318005E-001	-7.320977226921221E-002	1.000000000000000E+000
8.999841237154556E+003	1.2416342E-001	-7.294356650485712E-002	1.000000000000000E+000
9.003174337114207E+003	1.2517701E-001	-7.262717282783626E-002	1.000000000000000E+000
9.006507437073858E+003	1.2617821E-001	-7.230600764282719E-002	1.000000000000000E+000
9.009840537033509E+003	1.2717436E-001	-7.199540519940562E-002	1.000000000000000E+000
9.013173636993146E+003	1.2815459E-001	-7.168505348295806E-002	1.000000000000000E+000
9.016506736952790E+003	1.2916069E-001	-7.147779947261113E-002	1.000000000000000E+000
9.019839836912433E+003	1.3015430E-001	-7.116650739042074E-002	1.000000000000000E+000
9.023172936872077E+003	1.3116340E-001	-7.083834572428338E-002	1.000000000000000E+000
9.026506036831721E+003	1.3216206E-001	-7.051519515864557E-002	1.000000000000000E+000
9.029839136791357E+003	1.3314359E-001	-7.026543696488341E-002	1.000000000000000E+000
9.033172236751008E+003	1.3415799E-001	-6.996660091892615E-002	1.000000000000000E+000
9.036505336710718E+003	1.3516092E-001	-6.963361237332788E-002	1.000000000000000E+000
9.039838436670310E+003	1.3615093E-001	-6.940485024156318E-002	1.000000000000000E+000
9.043171536629961E+003	1.3714786E-001	-6.910375601758634E-002	1.000000000000000E+000
9.046504636589612E+003	1.3815424E-001	-6.879325861790686E-002	1.000000000000000E+000
9.049837736549263E+003	1.3914016E-001	-6.853366087745671E-002	1.000000000000000E+000
9.053170736508910E+003	1.4015731E-001	-6.821970082364415E-002	1.000000000000000E+000
9.056503836468546E+003	1.4117298E-001	-6.790628185903480E-002	1.000000000000000E+000
9.059836936428190E+003	1.4215998E-001	-6.758776543619005E-002	1.000000000000000E+000
9.063170036387834E+003	1.4317483E-001	-6.728638883354043E-002	1.000000000000000E+000
9.066503136347485E+003	1.4415248E-001	-6.698769375626856E-002	1.000000000000000E+000
9.069836236307136E+003	1.4515564E-001	-6.668161531146000E-002	1.000000000000000E+000
9.073169336266816E+003	1.4616069E-001	-6.638128987832764E-002	1.000000000000000E+000
9.076502436226438E+003	1.4716342E-001	-6.607553139220101E-002	1.000000000000000E+000
9.079835536186089E+003	1.4815976E-001	-6.578397983716511E-002	1.000000000000000E+000
9.083168636145710E+003	1.4918119E-001	-6.553963623859066E-002	1.000000000000000E+000
9.086501736105361E+003	1.5016142E-001	-6.522665945418696E-002	1.000000000000000E+000
9.089834836064998E+003	1.5114608E-001	-6.493624541191112E-002	1.000000000000000E+000
9.093167836024644E+003	1.5216427E-001	-6.463580610689140E-002	1.000000000000000E+000
9.096500935984288E+003	1.5315345E-001	-6.434037615055377E-002	1.000000000000000E+000
9.099834035943932E+003	1.5415740E-001	-6.402073165460409E-002	1.000000000000000E+000
9.103167135903583E+003	1.5516117E-001	-6.373903656833591E-002	1.000000000000000E+000
9.106500235863219E+003	1.5615246E-001	-6.343463646731040E-002	1.000000000000000E+000
9.109833335822856E+003	1.5715477E-001	-6.312518004252532E-002	1.000000000000000E+000
9.113166435782507E+003	1.5818530E-001	-6.284332373007229E-002	1.000000000000000E+000
9.116499535742158E+003	1.5916847E-001	-6.254618098368026E-002	1.000000000000000E+000
9.119832635701809E+003	1.6017780E-001	-6.226931299182370E-002	1.000000000000000E+000
9.123165735661460E+003	1.6117710E-001	-6.203042194154396E-002	1.000000000000000E+000
9.126498835621096E+003	1.6219407E-001	-6.173424653348691E-002	1.000000000000000E+000
9.129831935580740E+003	1.6319996E-001	-6.142148161022676E-002	1.000000000000000E+000
9.133164935540386E+003	1.6420755E-001	-6.111328789603920E-002	1.000000000000000E+000
9.136498035500030E+003	1.6519009E-001	-6.082222387854164E-002	1.000000000000000E+000
9.139831135459674E+003	1.6619134E-001	-6.050714365703191E-002	1.000000000000000E+000
9.143164235419317E+003	1.6717792E-001	-6.018646301102826E-002	1.000000000000000E+000
9.146497335378954E+003	1.6818850E-001	-5.989128880055827E-002	1.000000000000000E+000
9.149830435338605E+003	1.6918445E-001	-5.959033918823031E-002	1.000000000000000E+000
9.153163535298314E+003	1.7015786E-001	-5.929399362680654E-002	1.000000000000000E+000
9.156496635257907E+003	1.7113771E-001	-5.899660197326434E-002	1.000000000000000E+000
9.159829735217558E+003	1.7214505E-001	-5.872810423654529E-002	1.000000000000000E+000
9.163162835177209E+003	1.7317390E-001	-5.844373048633467E-002	1.000000000000000E+000
9.166495935136860E+003	1.7417216E-001	-5.812668603126570E-002	1.000000000000000E+000
9.169829035096496E+003	1.7515008E-001	-5.785207885130572E-002	1.000000000000000E+000
9.173162135056140E+003	1.7615317E-001	-5.754351514926004E-002	1.000000000000000E+000
9.176495135015786E+003	1.7713341E-001	-5.723559644676746E-002	1.000000000000000E+000
9.179828234975430E+003	1.7814244E-001	-5.692261919662789E-002	1.000000000000000E+000
9.183161334935081E+003	1.7915413E-001	-5.660610672989624E-002	1.000000000000000E+000
9.186494034894757E+003	1.8012832E-001	-5.628865374663006E-002	1.000000000000000E+000
9.189827134854379E+003	1.8112381E-001	-5.596709217351084E-002	1.000000000000000E+000
9.193160234814030E+003	1.8215565E-001	-5.564864168887518E-002	1.000000000000000E+000
9.196493334773681E+003	1.8314603E-001	-5.537739849473655E-002	1.000000000000000E+000
9.199826434733346E+003	1.8415515E-001	-5.504987919867088E-002	1.000000000000000E+000
9.203159534692939E+003	1.8516718E-001	-5.472737506920317E-002	1.000000000000000E+000
9.206492634652590E+003	1.8617418E-001	-5.440146155888759E-002	1.000000000000000E+000
9.209825734612241E+003	1.8717940E-001	-5.407283828101098E-002	1.000000000000000E+000
9.213158834571892E+003	1.8816455E-001	-5.373883441789218E-002	1.000000000000000E+000
9.216491934531543E+003	1.8917233E-001	-5.342251892878191E-002	1.000000000000000E+000
9.219824934491189E+003	1.9015998E-001	-5.310105391679842E-002	1.000000000000000E+000
9.223158034450811E+003	1.9114870E-001	-5.279017386737916E-002	1.000000000000000E+000
9.226491134410469E+003	1.9214609E-001	-5.245628455986595E-002	1.000000000000000E+000
9.229824234370113E+003	1.9314845E-001	-5.213857314226267E-002	1.000000000000000E+000
9.233157334329757E+003	1.9414242E-001	-5.178161169278073E-002	1.000000000000000E+000
9.236490434289444E+003	1.9513200E-001	-5.140682659133934E-002	1.000000000000000E+000
9.239823534249037E+003	1.9614725E-001	-5.104613473666464E-002	1.000000000000000E+000
9.243156634208688E+003	1.9714491E-001	-5.071064773734185E-002	1.000000000000000E+000
9.246489734168339E+003	1.9815820E-001	-5.035855115545429E-002	1.000000000000000E+000
9.249822834127961E+003	1.9915797E-001	-5.007498929375920E-002	1.000000000000000E+000
9.253155934087641E+003	2.0016600E-001	-4.969435288542012E-002	1.000000000000000E+000
9.256489034047278E+003	2.0115197E-001	-4.930444257086886E-002	1.000000000000000E+000
9.259822134006929E+003	2.0216909E-001	-4.890430547439917E-002	1.000000000000000E+000
9.263155233966565E+003	2.0316187E-001	-4.850662796136540E-002	1.000000000000000E+000
9.266488333926231E+003	2.0418365E-001	-4.810463980290444E-002	1.000000000000000E+000
9.269821433885896E+003	2.0516093E-001	-4.772501241646543E-002	1.000000000000000E+000
9.273154433845542E+003	2.0615938E-001	-4.735616287908645E-002	1.000000000000000E+000
9.276487533805135E+003	2.0715190E-001	-4.698274002632641E-002	1.000000000000000E+000
