time/s	Ewe/V	<I>/mA	cycle number	
9.833111727066047E+003	2.4912739E-001	-1.836125873935568E-002	1.000000000000000E+000
9.836444927025674E+003	2.5014517E-001	-1.827733274369076E-002	1.000000000000000E+000
9.839778026985325E+003	2.5117129E-001	-1.819421490085010E-002	1.000000000000000E+000
9.843111126944961E+003	2.5216120E-001	-1.811287704863429E-002	1.000000000000000E+000
9.846444226904612E+003	2.5318056E-001	-1.803132757924014E-002	1.000000000000000E+000
9.849777326864234E+003	2.5415772E-001	-1.794877630549213E-002	1.000000000000000E+000
9.853110326823880E+003	2.5514984E-001	-1.787003709307973E-002	1.000000000000000E+000
9.856443426783531E+003	2.5614536E-001	-1.778999951089771E-002	1.000000000000000E+000
9.859776526743182E+003	2.5716826E-001	-1.770863839287762E-002	1.000000000000000E+000
9.863109626702848E+003	2.5815928E-001	-1.763222142217488E-002	1.000000000000000E+000
9.866442726662441E+003	2.5913611E-001	-1.755425566398328E-002	1.000000000000000E+000
9.869775826622092E+003	2.6016897E-001	-1.746928930417008E-002	1.000000000000000E+000
9.873108926581743E+003	2.6117682E-001	-1.738654640527704E-002	1.000000000000000E+000
9.876442126541398E+003	2.6218122E-001	-1.730674684675006E-002	1.000000000000000E+000
9.879775226501020E+003	2.6316890E-001	-1.722699601381130E-002	1.000000000000000E+000
9.883108326460679E+003	2.6416945E-001	-1.714689989153509E-002	1.000000000000000E+000
9.886441326420325E+003	2.6515669E-001	-1.706944232582615E-002	1.000000000000000E+000
9.889774426379969E+003	2.6619610E-001	-1.699000444210919E-002	1.000000000000000E+000
9.893107526339612E+003	2.6716977E-001	-1.691219011354328E-002	1.000000000000000E+000
9.896440626299242E+003	2.6813725E-001	-1.683237035527019E-002	1.000000000000000E+000
9.899773726258951E+003	2.6916116E-001	-1.675361193996154E-002	1.000000000000000E+000
9.903106826218544E+003	2.7014041E-001	-1.667545139350737E-002	1.000000000000000E+000
9.906439926178195E+003	2.7115899E-001	-1.659747362203756E-002	1.000000000000000E+000
9.909773026137846E+003	2.7215412E-001	-1.652326286878741E-002	1.000000000000000E+000
9.913106126097468E+003	2.7314723E-001	-1.644667397015695E-002	1.000000000000000E+000
9.916439226057133E+003	2.7412862E-001	-1.636919156230562E-002	1.000000000000000E+000
9.919772326016784E+003	2.7511764E-001	-1.629281237592124E-002	1.000000000000000E+000
9.923105425976421E+003	2.7617097E-001	-1.621148960265692E-002	1.000000000000000E+000
9.926438525936086E+003	2.7716896E-001	-1.613353241357607E-002	1.000000000000000E+000
9.929771525895732E+003	2.7815279E-001	-1.605719934529465E-002	1.000000000000000E+000
9.933104625855398E+003	2.7915892E-001	-1.598120466115610E-002	1.000000000000000E+000
9.936437725815049E+003	2.8015572E-001	-1.590642659773603E-002	1.000000000000000E+000
9.939770825774642E+003	2.8115928E-001	-1.583172515719028E-002	1.000000000000000E+000
9.943103925734351E+003	2.8217238E-001	-1.575608156037864E-002	1.000000000000000E+000
9.946437025693973E+003	2.8316116E-001	-1.567805378766203E-002	1.000000000000000E+000
9.949770125653595E+003	2.8413758E-001	-1.560510838275009E-002	1.000000000000000E+000
9.953103225613275E+003	2.8515327E-001	-1.552726823863343E-002	1.000000000000000E+000
9.956436325572911E+003	2.8615996E-001	-1.545037092718241E-002	1.000000000000000E+000
9.959769425532562E+003	2.8714594E-001	-1.537655726276541E-002	1.000000000000000E+000
9.963102525492184E+003	2.8813168E-001	-1.530209236736857E-002	1.000000000000000E+000
9.966435525451830E+003	2.8914458E-001	-1.522819708508254E-002	1.000000000000000E+000
9.969768625411481E+003	2.9013479E-001	-1.515624828121376E-002	1.000000000000000E+000
9.973101725371132E+003	2.9113850E-001	-1.507875604611474E-002	1.000000000000000E+000
9.976434825330740E+003	2.9212812E-001	-1.500264048791833E-002	1.000000000000000E+000
9.979767925290449E+003	2.9313910E-001	-1.492763083293092E-002	1.000000000000000E+000
9.983101025250042E+003	2.9412639E-001	-1.485254722502687E-002	1.000000000000000E+000
9.986434125209664E+003	2.9511890E-001	-1.477838619323640E-002	1.000000000000000E+000
9.989767225169344E+003	2.9612482E-001	-1.470653152120596E-002	1.000000000000000E+000
9.993100325128995E+003	2.9712921E-001	-1.463462167663204E-002	1.000000000000000E+000
9.996433425088617E+003	2.9812053E-001	-1.456014128201522E-002	1.000000000000000E+000
9.999766525048275E+003	2.9911277E-001	-1.448665778679045E-002	1.000000000000000E+000
1.000309962500792E+004	3.0013040E-001	-1.441300794576039E-002	1.000000000000000E+000
1.000643272496756E+004	3.0113435E-001	-1.433847167933122E-002	1.000000000000000E+000
1.000976572492721E+004	3.0212241E-001	-1.426336222009852E-002	1.000000000000000E+000
1.001309882488684E+004	3.0310500E-001	-1.418997801836946E-002	1.000000000000000E+000
1.001643192484655E+004	3.0410945E-001	-1.411819421715732E-002	1.000000000000000E+000
1.001976502480614E+004	3.0512193E-001	-1.404470798330562E-002	1.000000000000000E+000
1.002309812476579E+004	3.0612081E-001	-1.396991124850074E-002	1.000000000000000E+000
1.002643122472544E+004	3.0711037E-001	-1.389761020621852E-002	1.000000000000000E+000
1.002976432468509E+004	3.0809098E-001	-1.382248715932133E-002	1.000000000000000E+000
1.003309742464473E+004	3.0911306E-001	-1.375112564731032E-002	1.000000000000000E+000
1.003643052460438E+004	3.1011829E-001	-1.368119439855958E-002	1.000000000000000E+000
1.003976362456403E+004	3.1111830E-001	-1.360935771323629E-002	1.000000000000000E+000
1.004309672452368E+004	3.1211352E-001	-1.353823166416618E-002	1.000000000000000E+000
1.004642982448335E+004	3.1310314E-001	-1.346569182347962E-002	1.000000000000000E+000
1.004976292444294E+004	3.1410798E-001	-1.339255943385717E-002	1.000000000000000E+000
1.005309592440265E+004	3.1512088E-001	-1.331978925268242E-002	1.000000000000000E+000
1.005642902436224E+004	3.1614056E-001	-1.324794454457923E-002	1.000000000000000E+000
1.005976212432195E+004	3.1713712E-001	-1.317636446155435E-002	1.000000000000000E+000
1.006309522428157E+004	3.1811270E-001	-1.310340176701408E-002	1.000000000000000E+000
1.006642832424119E+004	3.1913388E-001	-1.303328720977798E-002	1.000000000000000E+000
1.006976142420087E+004	3.2012406E-001	-1.296090929643617E-002	1.000000000000000E+000
